species,high_income_mean,upper_middle_mean,log2_fold_change,p_value,high_prevalence,upper_prevalence,p_adjusted,significant
s__Romboutsia_timonensis,0.0004503127506014434,0.018857647058823528,5.388078225525399,1.795924708297986e-11,0.03127506014434643,0.1411764705882353,2.5762007934112944e-11,True
s__Enterococcus_cecorum,0.001034851643945469,0.01318770588235294,3.6716976251434716,1.8208723910241156e-11,0.046511627906976744,0.17647058823529413,2.6073065240649968e-11,True
s__Frigoribacterium_sp_9N,0.035566744186046516,0.0035194705882352936,-3.3370985430384614,2.3514090297310982e-11,0.01603849238171612,0.10588235294117647,3.360958523712249e-11,True
s__Brevundimonas_diminuta,0.03733172413793103,0.4339287647058824,3.538984175520304,4.7376121354802986e-11,0.04891740176423416,0.17647058823529413,6.759557314729926e-11,True
s__Comamonas_denitrificans,0.6389368724939857,0.0,-32.57302625292923,1.227880719504019e-10,0.2028869286287089,0.0,1.7487998126269364e-10,True
s__Trichococcus_flocculiformis,1.1363213632718525,0.15289164705882352,-2.8937894055096107,4.788457826525306e-10,0.1764234161988773,0.4647058823529412,6.80778968575395e-10,True
s__GGB44538_SGB61976,0.02507673616680032,0.002110764705882353,-3.5705118548405466,8.981326555246157e-10,0.019246190858059342,0.10588235294117647,1.2746145502027852e-09,True
s__Rhodococcus_corynebacterioides,0.011543993584603047,0.001630058823529412,-2.8241463944907057,1.2847366560564992e-09,0.024057738572574178,0.11764705882352941,1.8200435960800407e-09,True
s__Diaphorobacter_nitroreducens,0.19956740176423418,0.1420910588235294,-0.4900603084687063,1.56923231377012e-09,0.21331194867682438,0.01764705882352941,2.219144457880223e-09,True
s__Epilithonimonas_hominis,0.053477072975140344,0.0,-28.994345264628596,1.898216211372731e-09,0.18043303929430635,0.0,2.679637372591541e-09,True
s__Acidovorax_caeni,0.07812267040898156,0.0001454705882352941,-9.068868971149678,2.0896969852671124e-09,0.19005613472333602,0.0058823529411764705,2.944740548903744e-09,True
s__Azonexus_hydrophilus,0.02854437048917402,0.0,-28.088631009980297,3.370013356509447e-09,0.1756214915797915,0.0,4.7405645631180425e-09,True
s__Megamonas_funiformis,0.17572145950280674,0.041524882352941175,-2.081242398733895,3.557809137252108e-09,0.13712910986367283,0.31176470588235294,4.995939368478795e-09,True
s__Stenotrophomonas_acidaminiphila,0.0006261668003207698,0.04411135294117648,6.138458954627327,3.5982194374900457e-09,0.030473135525260625,0.12352941176470589,5.0438198781658704e-09,True
s__Dialister_invisus,0.27468117080994386,0.0,-31.355110872642186,4.9290608253561416e-09,0.1724137931034483,0.0,6.897232223221641e-09,True
s__Acetoanaerobium_noterae,0.09942756214915797,2.1058823529411762e-05,-12.204998428538783,5.921934049042145e-09,0.17963111467522053,0.0058823529411764705,8.272072211861318e-09,True
s__Uruburuella_suis,0.46245955894145946,0.00017011764705882353,-11.408577841667377,6.643048914817588e-09,0.17882919005613473,0.0058823529411764705,9.263169429213355e-09,True
s__Phocaeicola_dorei,0.10001329591018444,0.0010361764705882352,-6.592778130200705,1.033487294604807e-08,0.19246190858059342,0.01764705882352941,1.4385999100857853e-08,True
s__Akkermansia_muciniphila,0.08926648757016839,0.004356588235294117,-4.356847960933011,1.7597221686036333e-08,0.17321571772253408,0.0058823529411764705,2.4452487177640053e-08,True
s__Alistipes_putredinis,0.09164467522052927,0.03785988235294118,-1.275381128888253,1.9165857312138204e-08,0.19005613472333602,0.01764705882352941,2.6585972209025042e-08,True
s__Macellibacteroides_fermentans,0.157633656776263,0.00041329411764705885,-8.575190707600369,2.059202218589935e-08,0.2012830793905373,0.029411764705882353,2.8514775955864093e-08,True
s__Acidovorax_temperans,0.7641987890938252,0.014655705882352939,-5.704413600765891,2.3445695310811126e-08,0.29591018444266237,0.11764705882352941,3.2368279591629335e-08,True
